,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
10,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",Nominated for 1 Oscar. Another 13 wins & 55 nominations.,"$226,276,809","Canada, Australia, USA",23 May 2017,James Mangold,"Action, Drama, Sci-Fi","English, Spanish",77,"In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwODQwNTg4OV5BMl5BanBnXkFtZTgwMTk4MTAzMjI@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",03 Mar 2017,True,137 min,Logan,movie,http://www.foxmovies.com/movies/logan,"James Mangold (story by), Scott Frank (screenplay by), James Mangold (screenplay by), Michael Green (screenplay by)",2017,tt3315342,8.1,"456,683"
11,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",1 win & 9 nominations.,"$225,697,400","China, USA, Japan",11 Jul 2017,F. Gary Gray,"Action, Crime, Thriller","English, Russian",56,"When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",https://ia.media-imdb.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",14 Apr 2017,True,136 min,The Fate of the Furious,movie,N/A,"Gary Scott Thompson (based on characters created by), Chris Morgan",2017,tt4630562,6.7,"158,056"
12,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",Won 2 Oscars. Another 86 wins & 28 nominations.,"$208,487,719",USA,27 Feb 2018,"Lee Unkrich, Adrian Molina(co-director)","Animation, Adventure, Comedy","English, Spanish",81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",https://ia.media-imdb.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_SX300.jpg,Disney/Pixar,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",21 Nov 2017,True,105 min,Coco,movie,N/A,"Lee Unkrich (original story by), Jason Katz (original story by), Matthew Aldrich (original story by), Adrian Molina (original story by), Adrian Molina (screenplay by), Matthew Aldrich (screenplay by)",2017,tt2380307,8.5,"149,168"
13,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong",Won 3 Oscars. Another 51 wins & 197 nominations.,"$188,042,171","Netherlands, UK, France, USA",19 Dec 2017,Christopher Nolan,"Action, Drama, History","English, French, German",94,"Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",https://ia.media-imdb.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",21 Jul 2017,True,106 min,Dunkirk,movie,http://www.dunkirkmovie.com,Christopher Nolan,2017,tt5013056,8.0,"374,763"
14,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",Won 1 Oscar. Another 122 wins & 181 nominations.,"$175,428,355","Japan, USA",23 May 2017,Jordan Peele,"Horror, Mystery, Thriller",English,84,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",https://ia.media-imdb.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",24 Feb 2017,True,104 min,Get Out,movie,http://www.getoutfilm.com/,Jordan Peele,2017,tt5052448,7.7,"286,674"
15,"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes",11 wins & 58 nominations.,"$175,686,290","USA, Denmark",13 Jun 2017,Chris McKay,"Animation, Action, Adventure",English,75,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",https://ia.media-imdb.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",10 Feb 2017,True,104 min,The LEGO Batman Movie,movie,http://www.legobatman.com/,"Seth Grahame-Smith (screenplay by), Chris McKenna (screenplay by), Erik Sommers (screenplay by), Jared Stern (screenplay by), John Whittington (screenplay by), Seth Grahame-Smith (story by), Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (Wonder Woman created by), Ole Kirk Christiansen (based on LEGO Construction Toys created by), Godtfred Kirk Christiansen (based on LEGO Construction Toys created by), Jens Nygaard Knudsen (based on LEGO Construction Toys created by)",2017,tt4116284,7.3,"97,253"
16,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",Nominated for 1 Oscar. Another 1 win & 19 nominations.,"$174,996,080",USA,25 Jul 2017,Tom McGrath,"Animation, Comedy, Family","English, Spanish",50,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",https://ia.media-imdb.com/images/M/MV5BMTg5MzUxNzgxNV5BMl5BanBnXkFtZTgwMTM2NzQ3MjI@._V1_SX300.jpg,DreamWorks Animation,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",31 Mar 2017,True,97 min,The Boss Baby,movie,http://www.dreamworksanimation.com/the-boss-baby/,"Michael McCullers, Marla Frazee (based on the book by)",2017,tt3874544,6.3,"76,431"
17,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",Nominated for 1 Oscar. Another 7 wins & 19 nominations.,"$164,616,443",USA,10 Apr 2018,Michael Gracey,"Biography, Drama, Musical",English,48,"Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.",https://ia.media-imdb.com/images/M/MV5BYjQ0ZWJkYjMtYjJmYS00MjJiLTg3NTYtMmIzN2E2Y2YwZmUyXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",20 Dec 2017,True,105 min,The Greatest Showman,movie,http://www.foxmovies.com/movies/the-greatest-showman,"Jenny Bicks (screenplay by), Bill Condon (screenplay by), Jenny Bicks (story by)",2017,tt1485796,7.8,"106,608"
18,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites",9 nominations.,"$172,537,139",USA,03 Oct 2017,"Joachim Rønning, Espen Sandberg","Action, Adventure, Fantasy","English, Spanish",39,Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.,https://ia.media-imdb.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",26 May 2017,True,129 min,Pirates of the Caribbean: Dead Men Tell No Tales,movie,http://pirates.disney.com/pirates-of-the-caribbean-dead-men-tell-no-tales,"Jeff Nathanson (screenplay by), Jeff Nathanson (story by), Terry Rossio (story by), Ted Elliott (based on characters created by), Terry Rossio (based on characters created by), Stuart Beattie (based on characters created by), Jay Wolpert (based on characters created by)",2017,tt1790809,6.6,"190,329"
19,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",Nominated for 1 Oscar. Another 1 win & 15 nominations.,"$167,986,460","USA, China",18 Jul 2017,Jordan Vogt-Roberts,"Action, Adventure, Fantasy","English, Vietnamese",62,"A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",https://ia.media-imdb.com/images/M/MV5BMTUwMzI5ODEwNF5BMl5BanBnXkFtZTgwNjAzNjI2MDI@._V1_SX300.jpg,Warner Bros. Pictures/Legendary Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",10 Mar 2017,True,118 min,Kong: Skull Island,movie,http://kongskullislandmovie.com/,"Dan Gilroy (screenplay by), Max Borenstein (screenplay by), Derek Connolly (screenplay by), John Gatins (story by)",2017,tt3731562,6.7,"201,111"
20,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",20 nominations.,"$152,603,003",USA,07 Nov 2017,Brian Fee,"Animation, Adventure, Comedy",English,59,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,https://ia.media-imdb.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_SX300.jpg,Walt Disney Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",16 Jun 2017,True,102 min,Cars 3,movie,http://movies.disney.com/cars-3,"Brian Fee (original story by), Ben Queen (original story by), Eyal Podell (original story by), Jonathon E. Stewart (original story by), Kiel Murray (screenplay by), Bob Peterson (screenplay by), Mike Rich (screenplay by), Scott Morse (additional story material)",2017,tt3606752,6.8,"43,198"
21,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",Nominated for 1 Oscar. Another 22 wins & 46 nominations.,"$146,872,826","USA, Canada, New Zealand",24 Oct 2017,Matt Reeves,"Action, Adventure, Drama","English, American Sign Language",82,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",https://ia.media-imdb.com/images/M/MV5BNDNmYTQzMDEtMmY0MS00OTNjLTk4MjItMDZhMzkzOGI3MzA0XkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",14 Jul 2017,True,140 min,War for the Planet of the Apes,movie,http://www.warfortheplanet.com/,"Mark Bomback, Matt Reeves, Rick Jaffa (based on characters created by), Amanda Silver (based on characters created by)",2017,tt3450958,7.5,"164,577"
22,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts",Nominated for 1 Oscar. Another 2 wins & 21 nominations.,"$132,090,170","USA, Hong Kong",13 Feb 2018,Stephen Chbosky,"Drama, Family",English,66,"Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters 5th grade, attending a mainstream elementary school for the first time.",https://ia.media-imdb.com/images/M/MV5BYjFhOWY0OTgtNDkzMC00YWJkLTk1NGEtYWUxNjhmMmQ5ZjYyXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,Lionsgate,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",17 Nov 2017,True,113 min,Wonder,movie,http://www.wonder.movie,"Stephen Chbosky (screenplay by), Steve Conrad (screenplay by), Jack Thorne (screenplay by), R.J. Palacio (based on the novel by)",2017,tt2543472,8.0,"72,171"
23,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",16 nominations.,"$130,104,634","USA, China, Canada",26 Sep 2017,Michael Bay,"Action, Adventure, Sci-Fi",English,27,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",https://ia.media-imdb.com/images/M/MV5BMTk3OTI3MDk4N15BMl5BanBnXkFtZTgwNDg2ODIyMjI@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",21 Jun 2017,True,154 min,Transformers: The Last Knight,movie,https://www.facebook.com/transformersmovie/,"Art Marcum (screenplay by), Matt Holloway (screenplay by), Ken Nolan (screenplay by), Akiva Goldsman (story by), Art Marcum (story by), Matt Holloway (story by), Ken Nolan (story by)",2017,tt3371366,5.2,"95,335"
24,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish",10 wins & 32 nominations.,"$115,088,305","USA, Canada",17 Oct 2017,Malcolm D. Lee,Comedy,English,71,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.",https://ia.media-imdb.com/images/M/MV5BMjMwNTEzODUwMV5BMl5BanBnXkFtZTgwNjE5NjA5MjI@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",21 Jul 2017,True,122 min,Girls Trip,movie,http://www.girlstripmovie.com/,"Erica Rivinoja (story by), Kenya Barris (story by), Tracy Oliver (story by), Kenya Barris (screenplay by), Tracy Oliver (screenplay by)",2017,tt3564472,6.3,"22,201"
25,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",3 wins & 12 nominations.,"$114,376,885","USA, China",09 May 2017,James Foley,"Drama, Romance",English,33,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",https://ia.media-imdb.com/images/M/MV5BMTQ5NTk0Njg2N15BMl5BanBnXkFtZTgwNzk5Nzk3MDI@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",10 Feb 2017,True,118 min,Fifty Shades Darker,movie,http://www.cinquentatonsfilmes.com.br/,"Niall Leonard (screenplay by), E.L. James (based on the novel by)",2017,tt4465564,4.6,"69,563"
26,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",Nominated for 3 Oscars. Another 31 wins & 44 nominations.,"$107,770,367","UK, USA",10 Oct 2017,Edgar Wright,"Action, Crime, Music","English, American Sign Language",86,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",https://ia.media-imdb.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",28 Jun 2017,True,112 min,Baby Driver,movie,http://www.babydriver-movie.com/,Edgar Wright,2017,tt3890160,7.7,"288,600"
